signalId,date open,date closed,coin,exchange,direction,leverage,avgEntryPrice,avgTpValue,maxReachedEntry,maxReachedTp,pnl,allocatedAmount,spentAmount,realizedProfit,unrealizedProfit,totalProfit,status,EP1,EP2,TP1,TP2,TP3,TP4,TP5,stopLoss,TP Pot. Profit 1,TP Pot. Profit 2,TP Pot. Profit 3,TP Pot. Profit 4,TP Pot. Profit 5,potentialLoss
MATICUSDT:LONG:0.64,"06/23/2023, 06:08:25 PM","06/24/2023, 11:15:00 PM",MATICUSDT,,LONG,10,0.69,0,1,0,-66.812,100,100,-66.812,0,-66.812,closed,0.69,0.66,0.7,0.8,1,,,0.64,14.493,159.42,449.275,,,-72.464
NEARUSDT:LONG:1.3,"06/23/2023, 06:11:14 PM","06/23/2023, 08:36:00 PM",NEARUSDT,,LONG,10,1.385,0,1,1,5.098,100,100,5.098,0,5.098,closed,1.385,1.324,1.407,1.6,2,,,1.3,15.884,155.235,444.043,,,-61.372
EGLDUSDT:LONG:31.98,"06/23/2023, 11:00:14 PM","06/24/2023, 11:15:00 PM",EGLDUSDT,,LONG,10,33.52,0,1,0,-19.391,100,100,-19.391,0,-19.391,closed,33.52,32.41,34.04,35.5,40,,,31.98,15.513,59.069,193.317,,,-45.943
FTMUSDT:SHORT:0.3316,"06/27/2023, 06:11:07 AM","06/27/2023, 09:18:00 AM",FTMUSDT,,SHORT,10,0.306,0,1,0,-5.222,100,100,-5.222,0,-5.222,closed,0.306,0.326,0.302,0.295,0.258,,,0.332,14.36,37.533,157.637,,,-82.245
ONEUSDT:LONG:0.0123,"06/27/2023, 04:52:51 PM","06/28/2023, 02:22:00 PM",ONEUSDT,,LONG,10,0.013,0,1,0,-55.513,100,100,-55.513,0,-55.513,closed,0.013,0.013,0.013,0.014,0.017,,,0.012,19.011,64.639,292.776,,,-64.639
MASKUSDT:LONG:3.342,"06/30/2023, 12:03:14 PM","06/30/2023, 03:41:00 PM",MASKUSDT,,LONG,10,3.504,0,1,0,-46.233,100,100,-46.233,0,-46.233,closed,3.504,3.392,3.57,3.8,4.2,,,3.342,18.836,84.475,198.63,,,-46.233
SOLUSDT:LONG:17.9,"07/03/2023, 12:31:41 AM","07/04/2023, 08:17:00 PM",SOLUSDT,,LONG,10,19.66,0,1,0,-11.343,100,100,-11.343,0,-11.343,closed,19.66,18.3,20,24,28,,,17.9,17.294,220.753,424.212,,,-89.522
MANAUSDT:SHORT:0.418,"07/04/2023, 09:16:19 PM","07/06/2023, 10:31:00 AM",MANAUSDT,,SHORT,10,0.394,0,1,1,10.968,100,100,10.968,0,10.968,closed,0.394,0.41,0.386,0.36,0.33,,,0.418,20.305,86.294,162.437,,,-60.914
BCHUSDT:SHORT:280,"07/05/2023, 12:50:32 PM","07/05/2023, 10:27:00 PM",BCHUSDT,,SHORT,10,265.5,0,1,2,33.821,100,100,33.821,0,33.821,closed,265.5,276,261.2,250,225,,,280,16.196,58.38,152.542,,,-54.614
ALGOUSDT:LONG:0.1167,"07/06/2023, 11:21:28 AM","07/06/2023, 04:08:00 PM",ALGOUSDT,,LONG,10,0.122,0,1,0,-45.008,100,100,-45.008,0,-45.008,closed,0.122,0.119,0.125,0.13,0.15,,,0.117,22.913,63.83,227.496,,,-45.008
HBARUSDT:SHORT:0.0494,"07/07/2023, 12:50:34 AM","07/07/2023, 01:21:00 AM",HBARUSDT,,SHORT,10,0,0,0,0,0,100,0,0,0,0,closed,0.047,0.049,0.046,0.044,0.04,,,0.049,13.276,57.816,143.469,,,-57.816
NEARUSDT:LONG:1.283,"07/09/2023, 04:39:41 PM","07/10/2023, 02:14:00 AM",NEARUSDT,,LONG,10,1.342,0,1,0,-29.061,100,100,-29.061,0,-29.061,closed,1.342,1.3,1.37,1.4,1.6,,,1.283,20.864,43.219,192.25,,,-43.964
GRTUSDT:SHORT:0.1181,"07/10/2023, 02:17:21 AM","07/10/2023, 10:08:00 PM",GRTUSDT,,SHORT,10,0.111,0,1,0,-55.28,100,100,-55.28,0,-55.28,closed,0.111,0.117,0.109,0.1,,,,0.118,21.968,99.667,,,,-63.293
AVAXUSDT:LONG:13.15,"07/10/2023, 08:48:06 PM","07/10/2023, 09:12:00 PM",AVAXUSDT,,LONG,10,13.473,0,1,0,9.426,100,100,9.426,0,9.426,closed,13.473,13.235,13.61,14,17,,,13.15,10.168,39.115,261.783,,,-23.974
MANAUSDT:LONG:0.366,"07/11/2023, 10:31:43 AM","07/12/2023, 06:10:00 PM",MANAUSDT,,LONG,10,0.39,0,1,1,3.005,100,100,3.005,0,3.005,closed,0.39,0.373,0.394,0.41,0.6,,,0.366,10.524,52.361,540.041,,,-60.575
BNBUSDT:LONG:229.7,"07/13/2023, 07:20:53 PM","07/13/2023, 10:58:00 PM",BNBUSDT,,LONG,10,252.2,0,1,1,6.364,100,100,6.364,0,6.364,closed,252.2,234.5,257.5,270,300,,,229.7,21.015,70.579,189.532,,,-89.215
NEARUSDT:SHORT:1.53,"07/17/2023, 12:41:19 PM","07/20/2023, 08:03:00 AM",NEARUSDT,,SHORT,10,1.434,0,1,0,-66.946,100,100,-66.946,0,-66.946,closed,1.434,1.5,1.413,1.3,1,,,1.53,14.644,93.445,302.65,,,-66.946
FTMUSDT:LONG:0.249,"07/21/2023, 08:23:03 PM","07/23/2023, 01:32:00 AM",FTMUSDT,,LONG,10,0.259,0,1,0,-38.61,100,100,-38.61,0,-38.61,closed,0.259,0.251,0.262,0.28,0.33,,,0.249,11.583,81.081,274.131,,,-38.61
GALAUSDT:LONG:0.022,"07/27/2023, 07:23:32 AM","07/27/2023, 12:30:00 PM",GALAUSDT,,LONG,7,0.024,0,1,1,2.291,100,100,2.291,0,2.291,closed,0.024,0.023,0.024,0.026,0.033,,,0.022,8.898,71.186,278.814,,,-47.458
GMTUSDT:LONG:0.203,"07/28/2023, 03:05:57 PM","07/30/2023, 09:49:00 PM",GMTUSDT,,LONG,7,0.213,0,1,1,2.069,100,100,2.069,0,2.069,closed,0.213,0.207,0.215,0.227,0.3,,,0.203,7.244,46.425,287.77,,,-31.609
